date,district,n
2022-07-01,Bawlake,1
2022-07-01,Falam,10
2022-07-01,Hakha,2
2022-07-01,Kawthoung,4
2022-07-01,Maungdaw,5
2022-07-01,Myawaddy,195
2022-07-01,Myeik,6
2022-07-01,Sittwe,2
2022-07-01,Tachileik,55
2022-07-01,Tamu,21
2022-07-02,Falam,11
2022-07-02,Hakha,2
2022-07-02,Kawthoung,3
2022-07-02,Kengtung,3
2022-07-02,Maungdaw,7
2022-07-02,Muse,1
2022-07-02,Myawaddy,205
2022-07-02,Myeik,5
2022-07-02,Sittwe,2
2022-07-02,Tachileik,52
2022-07-02,Tamu,25
2022-07-03,Falam,13
2022-07-03,Hakha,3
2022-07-03,Kawthoung,7
2022-07-03,Kengtung,3
2022-07-03,Maungdaw,6
2022-07-03,Muse,1
2022-07-03,Myawaddy,241
2022-07-03,Myeik,4
2022-07-03,Sittwe,7
2022-07-03,Tachileik,53
2022-07-03,Tamu,21
2022-07-04,Falam,13
2022-07-04,Hakha,4
2022-07-04,Kawthoung,7
2022-07-04,Kengtung,3
2022-07-04,Maungdaw,6
2022-07-04,Muse,2
2022-07-04,Myawaddy,218
2022-07-04,Myeik,5
2022-07-04,Sittwe,10
2022-07-04,Tachileik,62
2022-07-04,Tamu,24
2022-07-05,Falam,12
2022-07-05,Hakha,3
2022-07-05,Kawthoung,6
2022-07-05,Kengtung,2
2022-07-05,Maungdaw,4
2022-07-05,Muse,3
2022-07-05,Myawaddy,275
2022-07-05,Myeik,5
2022-07-05,Sittwe,8
2022-07-05,Tachileik,57
2022-07-05,Tamu,23
2022-07-06,Falam,11
2022-07-06,Hakha,3
2022-07-06,Kawthoung,2
2022-07-06,Kengtung,2
2022-07-06,Maungdaw,5
2022-07-06,Muse,2
2022-07-06,Myawaddy,303
2022-07-06,Myeik,4
2022-07-06,Sittwe,7
2022-07-06,Tachileik,73
2022-07-06,Tamu,23
2022-07-07,Falam,10
2022-07-07,Hakha,3
2022-07-07,Kawthoung,4
2022-07-07,Kengtung,2
2022-07-07,Maungdaw,7
2022-07-07,Muse,1
2022-07-07,Myawaddy,209
2022-07-07,Myeik,3
2022-07-07,Sittwe,7
2022-07-07,Tachileik,77
2022-07-07,Tamu,24
2022-07-08,Falam,11
2022-07-08,Hakha,3
2022-07-08,Kawthoung,5
2022-07-08,Kengtung,3
2022-07-08,Maungdaw,6
2022-07-08,Muse,1
2022-07-08,Myawaddy,211
2022-07-08,Myeik,1
2022-07-08,Sittwe,5
2022-07-08,Tachileik,79
2022-07-08,Tamu,21
2022-07-09,Falam,13
2022-07-09,Hakha,3
2022-07-09,Kawthoung,3
2022-07-09,Kengtung,1
2022-07-09,Maungdaw,6
2022-07-09,Myawaddy,203
2022-07-09,Myeik,3
2022-07-09,Sittwe,6
2022-07-09,Tachileik,69
2022-07-09,Tamu,18
2022-07-10,Falam,14
2022-07-10,Hakha,2
2022-07-10,Kawthoung,5
2022-07-10,Kengtung,7
2022-07-10,Maungdaw,4
2022-07-10,Muse,1
2022-07-10,Myawaddy,194
2022-07-10,Myeik,3
2022-07-10,Sittwe,11
2022-07-10,Tachileik,75
2022-07-10,Tamu,18
2022-07-11,Falam,11
2022-07-11,Hakha,2
2022-07-11,Kawthoung,2
2022-07-11,Kengtung,5
2022-07-11,Maungdaw,5
2022-07-11,Muse,1
2022-07-11,Myawaddy,232
2022-07-11,Myeik,3
2022-07-11,Sittwe,7
2022-07-11,Tachileik,73
2022-07-11,Tamu,17
2022-07-12,Falam,12
2022-07-12,Hakha,2
2022-07-12,Kawthoung,2
2022-07-12,Kengtung,5
2022-07-12,Maungdaw,5
2022-07-12,Muse,2
2022-07-12,Myawaddy,304
2022-07-12,Myeik,2
2022-07-12,Sittwe,5
2022-07-12,Tachileik,61
2022-07-12,Tamu,10
2022-07-13,Bhamo,1
2022-07-13,Falam,10
2022-07-13,Hakha,3
2022-07-13,Kawthoung,2
2022-07-13,Kengtung,2
